2026-02-19 15:43:51 | pid=24108 | thread=pool-2-thread-42 | user=Sensor2 | action=SENSOR_AUTH_FAIL | ip=/[0:0:0:0:0:0:0:1]:62931
2026-02-19 15:43:53 | pid=24108 | thread=pool-2-thread-44 | user=testSensorB | action=SENSOR_AUTH_FAIL | ip=/[0:0:0:0:0:0:0:1]:54477
2026-02-19 15:43:53 | pid=24108 | thread=pool-2-thread-46 | user=Sensor1 | action=SENSOR_AUTH_FAIL | ip=/[0:0:0:0:0:0:0:1]:54479
2026-02-19 15:43:53 | pid=24108 | thread=pool-2-thread-47 | user=Sensor3 | action=SENSOR_AUTH_FAIL | ip=/[0:0:0:0:0:0:0:1]:54480
2026-02-19 15:45:37 | pid=24108 | thread=pool-2-thread-28 | user=developer | action=LOGIN_SUCCESS | ip=0:0:0:0:0:0:0:1
2026-02-19 15:45:42 | pid=24108 | thread=pool-2-thread-38 | user=testSensorB | action=SENSOR_AUTH_FAIL | ip=/[0:0:0:0:0:0:0:1]:52180
2026-02-19 16:42:42 | pid=24108 | thread=pool-2-thread-60 | user=developer | action=LOGIN_SUCCESS | ip=0:0:0:0:0:0:0:1
2026-02-19 18:25:37 | pid=24108 | thread=pool-2-thread-90 | user=- | action=SESSION_MISS | ip=/[0:0:0:0:0:0:0:1]:54880 sid=e2fc090c
2026-02-19 18:51:22 | pid=24108 | thread=pool-2-thread-24 | user=developer | action=LOGIN_SUCCESS | ip=0:0:0:0:0:0:0:1
2026-02-19 19:39:29 | pid=24108 | thread=pool-2-thread-53 | user=developer | action=LOGIN_SUCCESS | ip=0:0:0:0:0:0:0:1
